fecha,clae2,w_median
2019-09-01,26,45911
2019-09-01,27,40000
2019-09-01,28,39870
2019-09-01,29,57704
2019-09-01,30,35773
2019-09-01,31,30848
2019-09-01,32,37359
2019-09-01,33,41569
2019-09-01,35,84616
2019-09-01,36,54687
2019-09-01,37,43108
2019-09-01,38,59954
2019-09-01,39,44518
2019-09-01,41,20655
2019-09-01,42,41974
2019-09-01,43,27951
2019-09-01,45,37945
2019-09-01,46,40309
2019-09-01,47,37519
2019-09-01,49,50361
2019-09-01,50,82497
2019-09-01,51,83457
2019-09-01,52,45157
2019-09-01,53,46266
2019-09-01,55,32906
2019-09-01,56,17340
2019-09-01,58,42094
2019-09-01,59,35000
2019-09-01,60,56093
2019-09-01,61,80214
2019-09-01,62,57721
2019-09-01,63,54001
2019-09-01,64,78000
2019-09-01,65,55568
2019-09-01,66,40923
2019-09-01,68,33834
2019-09-01,69,32059
2019-09-01,70,40855
2019-09-01,71,36437
2019-09-01,72,51828
2019-09-01,73,39567
2019-09-01,74,38665
2019-09-01,75,21452
2019-09-01,77,38791
2019-09-01,78,32134
2019-09-01,79,38913
2019-09-01,80,33910
2019-09-01,81,23650
2019-09-01,82,28207
2019-09-01,85,24159
2019-09-01,86,41352
2019-09-01,87,31929
2019-09-01,88,31805
2019-09-01,90,21759
2019-09-01,91,33336
2019-09-01,92,37621
2019-09-01,93,28350
2019-09-01,94,40941
2019-09-01,95,35350
2019-09-01,96,23686
2019-09-01,999,39808
2019-10-01,1,27879
2019-10-01,2,24011
2019-10-01,3,68790
2019-10-01,5,-99
2019-10-01,6,156931
2019-10-01,7,126235
2019-10-01,8,49048
2019-10-01,9,136987
2019-10-01,10,47238
2019-10-01,11,55354
2019-10-01,12,72000
2019-10-01,13,35801
2019-10-01,14,34776
2019-10-01,15,41315
2019-10-01,16,27054
2019-10-01,17,54495
2019-10-01,18,40548
2019-10-01,19,107176
2019-10-01,20,60258
2019-10-01,21,78303
2019-10-01,22,47899
2019-10-01,23,48312
2019-10-01,24,66090
2019-10-01,25,36500
2019-10-01,26,49377
2019-10-01,27,43115
2019-10-01,28,43500
2019-10-01,29,64287
2019-10-01,30,37735
2019-10-01,31,35081
2019-10-01,32,40000
2019-10-01,33,44967
2019-10-01,35,84411
2019-10-01,36,57854
2019-10-01,37,45616
2019-10-01,38,73608
2019-10-01,39,56461
2019-10-01,41,22747
2019-10-01,42,46672
2019-10-01,43,31104
2019-10-01,45,39692
2019-10-01,46,41055
2019-10-01,47,38122
2019-10-01,49,54311
2019-10-01,50,87680
2019-10-01,51,84403
2019-10-01,52,49895
2019-10-01,53,52202
2019-10-01,55,36905
2019-10-01,56,19068
2019-10-01,58,44376
2019-10-01,59,37642
2019-10-01,60,61858
2019-10-01,61,76073
2019-10-01,62,64336
2019-10-01,63,57952
2019-10-01,64,125742
2019-10-01,65,60318
2019-10-01,66,41611
2019-10-01,68,35351
2019-10-01,69,34383
2019-10-01,70,42562
2019-10-01,71,38440
2019-10-01,72,59054
2019-10-01,73,41616
2019-10-01,74,42394
2019-10-01,75,21709
2019-10-01,77,39950
2019-10-01,78,33206
2019-10-01,79,40355
2019-10-01,80,35465
2019-10-01,81,24227
2019-10-01,82,29914
2019-10-01,85,25527
2019-10-01,86,43203
2019-10-01,87,33378
2019-10-01,88,33701
2019-10-01,90,22051
2019-10-01,91,35725
2019-10-01,92,41447
2019-10-01,93,29566
2019-10-01,94,43323
2019-10-01,95,36723
2019-10-01,96,24579
2019-10-01,999,40332
2019-11-01,1,27542
2019-11-01,2,23972
2019-11-01,3,57400
2019-11-01,5,-99
2019-11-01,6,166640
2019-11-01,7,119753
2019-11-01,8,48442
2019-11-01,9,145359
2019-11-01,10,46318
2019-11-01,11,55513
2019-11-01,12,77108
2019-11-01,13,33846
2019-11-01,14,34735
2019-11-01,15,38564
2019-11-01,16,25412
2019-11-01,17,52511
2019-11-01,18,40470
2019-11-01,19,105806
2019-11-01,20,60440
2019-11-01,21,83824
2019-11-01,22,45101
2019-11-01,23,49044
2019-11-01,24,57513
2019-11-01,25,35510
2019-11-01,26,49410
2019-11-01,27,41910
2019-11-01,28,41803
2019-11-01,29,65001
2019-11-01,30,36503
2019-11-01,31,32148
2019-11-01,32,39496
2019-11-01,33,44395
2019-11-01,35,85033
2019-11-01,36,58509
2019-11-01,37,45053
2019-11-01,38,68639
2019-11-01,39,56013
2019-11-01,41,23661
2019-11-01,42,48278
2019-11-01,43,31606
2019-11-01,45,40243
2019-11-01,46,41886
2019-11-01,47,38996
2019-11-01,49,52516
2019-11-01,50,89690
2019-11-01,51,80589
2019-11-01,52,48981
2019-11-01,53,51760
2019-11-01,55,36817
2019-11-01,56,19500
2019-11-01,58,44553
2019-11-01,59,38407
2019-11-01,60,64162
2019-11-01,61,73184
2019-11-01,62,64152
2019-11-01,63,56771
2019-11-01,64,118698
2019-11-01,65,60587
2019-11-01,66,41783
2019-11-01,68,36326
2019-11-01,69,34667
2019-11-01,70,42089
2019-11-01,71,39107
2019-11-01,72,54416
2019-11-01,73,41648
2019-11-01,74,40717
2019-11-01,75,22340
2019-11-01,77,39926
2019-11-01,78,32753
2019-11-01,79,40000
2019-11-01,80,35147
2019-11-01,81,25000
2019-11-01,82,30066
2019-11-01,85,25760
2019-11-01,86,44781
2019-11-01,87,34787
2019-11-01,88,34663
2019-11-01,90,18491
2019-11-01,91,36607
2019-11-01,92,41154
2019-11-01,93,29368
2019-11-01,94,44083
2019-11-01,95,37052
2019-11-01,96,25762
2019-11-01,999,40708
2019-12-01,1,39877
2019-12-01,2,35556
2019-12-01,3,98019
2019-12-01,5,-99
2019-12-01,6,251471
2019-12-01,7,184134
2019-12-01,8,75944
2019-12-01,9,208278
2019-12-01,10,70471
2019-12-01,11,81726
2019-12-01,12,127169
2019-12-01,13,55065
2019-12-01,14,53868
2019-12-01,15,65277
2019-12-01,16,40056
2019-12-01,17,83060
2019-12-01,18,62354
2019-12-01,19,165364
2019-12-01,20,92640
2019-12-01,21,129340
2019-12-01,22,71886
2019-12-01,23,76662
2019-12-01,24,100526
2019-12-01,25,55401
2019-12-01,26,74743
2019-12-01,27,67430
2019-12-01,28,66879
2019-12-01,29,113607
2019-12-01,30,55630
2019-12-01,31,53108
2019-12-01,32,60235
2019-12-01,33,64922
2019-12-01,35,128948
2019-12-01,36,90233
2019-12-01,37,67965
2019-12-01,38,98974
2019-12-01,39,81102
2019-12-01,41,33497
2019-12-01,42,70601
2019-12-01,43,47371
2019-12-01,45,60498
2019-12-01,46,62323
2019-12-01,47,57746
2019-12-01,49,75661
2019-12-01,50,126866
2019-12-01,51,123336
2019-12-01,52,70000
2019-12-01,53,73397
2019-12-01,55,51600
2019-12-01,56,27953
2019-12-01,58,67315
2019-12-01,59,52362
2019-12-01,60,96870
2019-12-01,61,113964
2019-12-01,62,94278
2019-12-01,63,86968
2019-12-01,64,132581
2019-12-01,65,93718
2019-12-01,66,62009
2019-12-01,68,52941
2019-12-01,69,49057
2019-12-01,70,62100
2019-12-01,71,57968
2019-12-01,72,82401
2019-12-01,73,60324
2019-12-01,74,60000
2019-12-01,75,32952
2019-12-01,77,59528
2019-12-01,78,39960
2019-12-01,79,60000
