fecha,clae2,salario_median,salario_normalizado
2023-03-01,2,123065,5.75659651434296
2023-03-01,3,245026,4.1796667993404215
2023-03-01,6,902568,5.763754939133905
2023-03-01,7,667065,5.753883708693815
2023-03-01,8,282322,6.21625281421502
2023-03-01,9,728509,5.452659994486283
2023-03-01,10,221204,5.0431138156857305
2023-03-01,11,274460,5.350219140786177
2023-03-01,12,321845,4.804045103148887
2023-03-01,13,195187,5.967683088400155
2023-03-01,14,167555,5.177763013550471
2023-03-01,15,173976,4.671489466441414
2023-03-01,16,147839,5.943953415129362
2023-03-01,17,261071,5.134198524073531
2023-03-01,18,184875,4.741093753339175
2023-03-01,19,482373,4.817631681230177
2023-03-01,20,310711,5.408756932244967
2023-03-01,21,397853,5.136470147760356
2023-03-01,22,224133,5.126389240970767
2023-03-01,23,233116,5.057825060298473
2023-03-01,24,323828,5.447125843855832
2023-03-01,25,175071,5.19267388402788
2023-03-01,26,240559,5.153538127007307
2023-03-01,27,210508,5.178644132425568
2023-03-01,28,209598,5.173875300845452
2023-03-01,29,330690,5.302486300427189
2023-03-01,30,185204,5.170227169626967
2023-03-01,31,180162,5.624189323128712
2023-03-01,32,196716,5.213160370483245
2023-03-01,33,197195,4.691172505669833
2023-03-01,35,508620,6.0940308164194485
2023-03-01,36,297157,5.311109158312245
2023-03-01,37,216349,4.947287383044
2023-03-01,38,337015,5.2469553055592675
2023-03-01,39,320036,6.6945435148675365
2023-03-01,41,120835,5.7701904136572555
2023-03-01,42,217964,5.029696649199558
2023-03-01,43,155600,5.415580234524324
2023-03-01,45,194356,5.052505702903119
2023-03-01,46,206389,5.13204403747288
2023-03-01,47,191590,5.102761920826712
2023-03-01,49,291362,5.755156662798449
2023-03-01,50,478049,5.7779581805729014
2023-03-01,51,408000,4.77239962218503
2023-03-01,52,246508,5.410534286639267
2023-03-01,53,252049,5.38736992850298
2023-03-01,55,170246,5.015619245896327
2023-03-01,56,95595,5.310538303427587
2023-03-01,58,210213,4.89337813091654
2023-03-01,59,172491,5.034457429860511
2023-03-01,60,312754,5.218597045474771
2023-03-01,61,432699,5.73240965119039
2023-03-01,62,342000,5.8396985668264145
2023-03-01,63,294546,5.342696960398569
2023-03-01,64,495641,5.4878740122607
2023-03-01,65,287542,5.0167330862650275
2023-03-01,66,224096,5.51541727341715
2023-03-01,68,167925,4.929703229468132
2023-03-01,69,173044,5.413475500866822
2023-03-01,70,234276,5.834110505836576
2023-03-01,71,192771,5.2660679528769
2023-03-01,72,333035,6.349207862276705
2023-03-01,73,233345,5.838746066862811
2023-03-01,74,218356,5.666420858914279
2023-03-01,75,113844,5.396324049312883
2023-03-01,77,199404,5.192373041344157
2023-03-01,78,172666,5.620028208744711
2023-03-01,79,188722,4.806060991914433
2023-03-01,80,200662,5.9730462500155035
2023-03-01,81,110829,4.731866990201451
2023-03-01,82,156451,5.418185176420338
2023-03-01,85,133800,5.51826533452937
2023-03-01,86,218765,5.353336786423646
2023-03-01,87,168463,5.349206307205021
2023-03-01,88,163457,5.243628197930868
2023-03-01,90,94674,4.365354984226766
2023-03-01,91,184752,5.473146815512266
2023-03-01,92,196076,4.983705448391408
2023-03-01,93,129391,4.544207254613886
2023-03-01,94,209345,5.035680781288837
2023-03-01,95,187635,5.275820619943249
2023-03-01,96,112491,4.744937449690852
2023-04-01,1,140900,5.677273780383387
2023-04-01,2,126195,5.903008143074879
2023-04-01,3,259530,4.427076818104282
2023-04-01,6,1002984,6.405006585511874
2023-04-01,7,655986,5.658319891661563
2023-04-01,8,300000,6.605492466986299
2023-04-01,9,823078,6.160479119601516
2023-04-01,10,233940,5.333475190509755
2023-04-01,11,299597,5.840230284639351
2023-04-01,12,263886,3.9389154595831757
2023-04-01,13,198227,6.060628605205764
2023-04-01,14,178686,5.521731740856909
2023-04-01,15,174917,4.696756581376355
2023-04-01,16,146293,5.881795581406257
2023-04-01,17,305714,6.0121436987969386
2023-04-01,18,205314,5.265249075716453
2023-04-01,19,515447,5.147953548799478
2023-04-01,20,335492,5.84013659224401
2023-04-01,21,468176,6.044373293396939
2023-04-01,22,221302,5.061638365636979
2023-04-01,23,254615,5.5242803056328
2023-04-01,24,358542,6.031051651826766
2023-04-01,25,182389,5.409728607444758
2023-04-01,26,256750,5.500400791943457
2023-04-01,27,225411,5.545268362884924
2023-04-01,28,221468,5.4668833439614914
2023-04-01,29,361631,5.798613273185716
2023-04-01,30,181879,5.077405171511324
2023-04-01,31,177340,5.53609381869454
2023-04-01,32,210047,5.566444500390889
2023-04-01,33,216656,5.1541401677953464
2023-04-01,35,470343,5.635414919364501
